Local Interface,Device ID,Remote Interface,IP Address,Platform,Native VLAN,Hold Time,Duplex,Capaibilities,Software Version
GigabitEthernet1,XRv99,GigabitEthernet0/0/0/1,10.11.99.99,cisco IOS XRv Series,,153,full,Router,Cisco IOS XR Software  Version 6.1.3[Default] Copyright (c) 2017 by Cisco Systems  Inc.
GigabitEthernet10,XRv12,GigabitEthernet0/0/0/10,10.11.12.12,cisco IOS XRv Series,,174,full,Router,Cisco IOS XR Software  Version 6.1.3[Default] Copyright (c) 2017 by Cisco Systems  Inc.
