Local Interface,Device ID,Remote Interface,IP Address,Platform,Native VLAN,Hold Time,Duplex,Capaibilities,Software Version
GigabitEthernet3,XRv99,GigabitEthernet0/0/0/3,10.13.99.99,cisco IOS XRv Series,,135,full,Router,Cisco IOS XR Software  Version 6.1.3[Default] Copyright (c) 2017 by Cisco Systems  Inc.
GigabitEthernet11,XRv12,GigabitEthernet0/0/0/11,10.12.13.12,cisco IOS XRv Series,,179,full,Router,Cisco IOS XR Software  Version 6.1.3[Default] Copyright (c) 2017 by Cisco Systems  Inc.
