Interface,Description,Type,Connected,Enabled,Bandwidth,Port Speed,Port Duplex,IPv4 Address,Line Protocol,Operational Status,MAC Address,Media Type,Delay,Encapsulation,Keepalive,MTU,Port Channel Member,Port Channel Member Interface,Input CRC Errors,Input Errors,Output Errors,Input Packets,Output Packets,QoS Strategy,Input Queue Drops,Total Output Drops
GigabitEthernet1,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0000,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet2,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0001,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet3,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0002,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet4,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0003,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet5,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0004,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet6,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,5006.0004.0005,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,50881,19143,fifo,0,0
GigabitEthernet7,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,5006.0004.0006,Virtual,10,arpa,N/A,1500,False,Stand Alone Port,0,0,0,0,486,fifo,0,0
GigabitEthernet8,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,5006.0004.0007,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,10037,fifo,0,0
GigabitEthernet9,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,001e.bde0.6ac5,Virtual,10,arpa,N/A,1500,False,Stand Alone Port,0,0,0,0,486,fifo,0,0
GigabitEthernet10,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,5006.0004.0009,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,486,fifo,0,0
GigabitEthernet11,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,5006.0004.000a,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,486,fifo,0,0
GigabitEthernet12,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.000b,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet13,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.000c,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet14,No Description,CSR vNIC,Not Connected,True,1000000,1000mbps,full,No IP Address,up,up,5006.0004.000d,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,44094,11045,fifo,0,0
GigabitEthernet15,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.000e,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet16,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.000f,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
