VRF,Address Family,Route,Active,Metric,Next Hop Index,Next Hop,Outgoing Interface,Route Preference,Source Protocol,Source Protocol Code
CustC,ipv4,172.18.3.14/32,True,N/A,N/A,N/A,GigabitEthernet9,N/A,local,L
CustC,ipv4,172.18.3.0/24,True,N/A,N/A,N/A,GigabitEthernet9,N/A,connected,C
CustC,ipv4,172.18.2.0/24,True,0,1,10.255.255.12,N/A,200,bgp,B
CustC,ipv4,172.18.1.0/24,True,0,1,10.255.255.12,N/A,200,bgp,B
CustC,ipv4,10.3.255.2/32,True,10880,1,10.255.255.12,N/A,200,bgp,B
CustC,ipv4,10.3.255.1/32,True,10880,1,10.255.255.12,N/A,200,bgp,B
